,ts,longitude,latitude,altitude,accuracy,motion_score,y,x
1390,2021-10-27 13:08:31+02:00,13.3765605166667,52.5278158666667,101.161,5.34630584716797,82.56001186363808,4849178.719073563,1848625.4570015133
1440,2021-10-27 13:16:51+02:00,13.3765894333333,52.5278677833333,112.954,4.69407272338867,706.5025430147987,4849184.902580062,1848630.5989641016
1452,2021-10-27 13:18:51+02:00,13.3765977,52.52785045,106.735,4.38354063034058,376.33757600887776,4849182.405461987,1848631.308437364
1453,2021-10-27 13:19:01+02:00,13.3765396166667,52.5278267833333,97.562,4.46294927597046,386.0194156125034,4849180.670642666,1848622.8855147953
1454,2021-10-27 13:19:11+02:00,13.3763862666667,52.52785995,93.087,4.49440431594849,392.37288855696136,4849188.768985735,1848602.9083669663
1455,2021-10-27 13:19:21+02:00,13.3762888,52.5278784833333,96.432,4.46907758712769,411.9419426677938,4849193.578555603,1848590.1510177958
1457,2021-10-27 13:19:41+02:00,13.3762586333333,52.5278797166667,103.821,4.85047388076782,411.3165985394077,4849194.470289931,1848586.0960904872
1459,2021-10-27 13:20:01+02:00,13.3762115,52.5278809666667,109.637,9.47356414794922,364.240037323884,4849195.773823368,1848579.7445438595
1460,2021-10-27 13:20:11+02:00,13.37624795,52.5279905333333,107.109,15.0,335.12213590671007,4849209.4170959415,1848587.2689988008
1461,2021-10-27 13:22:21+02:00,13.3755207,52.5285215166667,119.222,15.0,392.7979829067211,4849297.356544946,1848501.3607320732
1462,2021-10-27 13:22:31+02:00,13.3757474333333,52.5284657833333,116.295,13.2818794250488,387.8990945226449,4849284.495434159,1848530.73976173
1463,2021-10-27 13:22:41+02:00,13.3757349833333,52.5283801,100.95,11.5626287460327,381.9253296575593,4849273.438432075,1848527.0290299256
1465,2021-10-27 13:23:01+02:00,13.3756941166667,52.5281339666667,85.279,10.4044589996338,370.98029446058894,4849241.799398128,1848515.6788199486
1469,2021-10-27 13:23:41+02:00,13.3757286833333,52.5280966666667,81.166,11.1073417663574,330.5665003374787,4849236.020747304,1848519.4770127845
1474,2021-10-27 13:24:31+02:00,13.3757356666667,52.5280528666667,75.932,13.9673986434937,22.14378641555581,4849230.046382512,1848519.3872198218
1479,2021-10-27 13:25:21+02:00,13.3757267833333,52.52800815,69.22,13.663821220398,23.785014642545505,4849224.333541009,1848517.1276642547
